"Price"	"Name"
80106	"Lenovo"
81943	"Dell"
92303	"Top"
116098	"Asus"
269185	"2017"
63999	"Asus"
64865	"Acer"
38793	"2017"
38990	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
17998	"ASUS"
43586	"Lenovo"
71325	"Dell"
91389	"HP"
81402	"TOSHIBA"
38857	"Dell"
55870	"Dell"
78528	"Dell"
101298	"2017"
127127	"2017"
70558	"New"
36984	"HP"
100159	"2017"
43384	"HP"
50064	"Lenovo"
74997	"NEW"
84220	"Newest"
128792	"Dell"
38990	"Top"
82861	"Newest"
72000	"2017"
28980	"Dell"
39980	"Dell"
21485	"Dell"
74997	"Top"
84220	"Newest"
128792	"2017"
42710	"Premium"
50064	"2017"
92045	"New"
25499	"Lenovo"
23650	"2017"
108129	"Dell"
75748	"Acer"
